id,name,address,city_id,location,desciption,time,stars,food type,price,place_type
1,Galleria Alberto Sordi,Piazza Colonna 00187 Roma RM Italy,1,41.90122340938924 12.480575693552845,"Galleria Alberto Sordi is a historic shopping mall located in the heart of Rome. It offers a blend of elegant shops, boutiques, cafes, and restaurants, making it a popular destination for both locals and tourists.",2,,,,shopping
2,Via del Corso,"Via del Corso, 00186 Roma RM, Italy",1,41.903369974944845 12.479473708895839,"Via del Corso is one of the main shopping streets in Rome, known for its wide range of fashion boutiques, department stores, and popular brands. It offers a vibrant shopping experience in the heart of the city.",3,,,,shopping
3,Via Condotti,"Via dei Condotti, 00187 Roma RM, Italy",1,41.90533403993258 12.480541881910383,"Via Condotti is a prestigious street in Rome, renowned for its luxury fashion boutiques, high-end jewelry stores, and designer brands. It attracts fashion enthusiasts and luxury shoppers from around the world.",4,,,,shopping
4,La Rinascente,"Via del Tritone, 61, 00187 Roma RM, Italy",1,41.90600659996459 12.484760359092748,"La Rinascente is a famous department store in Rome, offering a wide range of products including fashion, cosmetics, home goods, and gourmet food. It provides a modern shopping experience and a great selection of international and Italian brands.",4,,,,shopping
5,Porta Portese Market,"Via di Porta Portese, 00153 Roma RM, Italy",1,41.87621365001004 12.467844220464272,"Porta Portese Market is one of the largest flea markets in Rome, known for its diverse selection of vintage clothing, antiques, furniture, books, and much more. It's a treasure trove for bargain hunters and collectors.",5,,,,shopping
6,Euroma2,"Viale dell'Oceano Pacifico, 83, 00144 Roma RM, Italy",1,41.817094606674274 12.459519024233158,"Euroma2 is a modern shopping center located on the outskirts of Rome. It features a wide range of shops, including fashion, electronics, home goods, and entertainment options such as cinemas and restaurants.",3,,,,shopping
7,Castel Romano Designer Outlet,"Via Ponte di Piscina Cupa, 64, 00128 Castel Romano RM, Italy",1,41.71704125708646 12.444494881898068,"Castel Romano Designer Outlet is a popular shopping destination near Rome, offering discounted prices on a variety of designer brands. It features a charming village-like setting and a wide selection of fashion, accessories, and homeware.",5,,,,shopping
8,Via Cola di Rienzo,"Via Cola di Rienzo, 00192 Roma RM, Italy",1,41.90867546393559 12.465293424868166,"Via Cola di Rienzo is a vibrant shopping street in Rome, known for its mix of local boutiques, department stores, and international brands. It offers a great shopping experience with a lively atmosphere.",4,,,,shopping
9,Via Borgognona,"Via Borgognona, 00187 Roma RM, Italy",1,41.9048949511959 12.480762251224505,"Via Borgognona is a charming street in Rome known for its luxury fashion boutiques, art galleries, and upscale shops. It offers a sophisticated shopping experience with a range of high-end brands and designer stores.",5,,,,shopping
10,Piazza di Spagna,"Piazza di Spagna, 00187 Roma RM, Italy",1,41.90588303262488 12.482422633760393,"Piazza di Spagna is a famous square in Rome that is home to the iconic Spanish Steps. It is a popular shopping area, featuring a mix of designer boutiques, luxury brands, and renowned Italian fashion houses.",3,,,,shopping
11,Centro Commerciale Aura,"Viale di Valle Aurelia, 30, 00167 Roma RM, Italy",1,41.904707036258145 12.437269529492056,"Centro Commerciale Aura is a modern shopping center located in Rome. It offers a wide range of shops, including fashion, electronics, home goods, and a variety of dining options, providing a convenient and enjoyable shopping experience.",4,,,,shopping
12,Centro Commerciale ROMAEST,"Via Collatina, Km 12.800, 00132 Roma RM, Italy",1,41.91616301623824 12.660801074978163,"Centro Commerciale ROMAEST is a large shopping mall located on the outskirts of Rome. It features a wide selection of shops, including fashion, electronics, home decor, and a range of entertainment options such as cinemas and restaurants.",5,,,,shopping
13,Maximo Shopping Center,"Via Laurentina, 865, 00143 Roma RM, Italy",1,41.810083544780966 12.486444743207326,"Maximo Shopping Center is a modern retail complex situated in the southern part of Rome. It offers a diverse range of shops, including fashion, electronics, and supermarkets, providing a convenient shopping experience for local residents.",5,,,,shopping
14,Isola Sas di Aron Sufir,"Via in Arcione, 113, 00187 Roma RM, Italy",1,41.90394847068115 12.486074220464273,"Isola Sas di Aron Sufir is a renowned antique store located near Piazza di Spagna in Rome. It specializes in a wide range of unique and collectible antiquities, attracting antique enthusiasts and collectors from around the city.",4,,,,shopping
15,Antiquities Alberto Di Castro,"Piazza di Spagna, 5, 00187 Roma RM, Italy",1,41.9078942371483 12.481267625824877,"Antiquities Alberto Di Castro is a prestigious antique shop situated in the vicinity of Piazza di Spagna. It offers a curated collection of fine antique furniture, artworks, and decorative objects, catering to discerning collectors and interior designers.",4,,,,shopping
16,Carlucci Gallerie Antiquarie,"Via del Babuino, 50, 00187 Roma RM, Italy",1,41.91083250568285 12.479379350738073,"Carlucci Gallerie Antiquarie is a well-established gallery of fine antiques located on Via del Babuino. It showcases a wide array of exquisite antiquefurniture, artwork, and decorative objects, offering a unique shopping experience for antique enthusiasts and collectors in Rome.",2,,,,shopping
17,Stone Island Store Roma,"Via del Babuino, 174/175, 00187 Roma RM, Italy",1,41.91222299611914 12.478005983529382,"Stone Island Store Roma is a flagship store located on Via del Babuino in Rome. It specializes in high-quality and innovative fashion for men, featuring the renowned Stone Island brand. The store showcases the latest collections and offers a premium shopping experience for fashion-forward individuals.",5,,,,shopping
